,author_id,created_at,edit_history_tweet_ids,id,lang,text,retweet_count,reply_count,like_count,quote_count,impression_count,has_image,name
90,155659213,2022-02-09 16:02:29+00:00,[1491442389382471680],1.49144e+18,en,"Children are and will always be the best thing the world has to offer, and we must protect them at all costs. Supporters are and will always be the best in football, and we must respect everything they face and endure for their clubs.🙌🏽👊🏽 https://t.co/DZ7wcseTHd",29040,5322,410194,1625,0,True,Ronaldo
89,155659213,2022-02-11 18:59:28+00:00,[1492211702175256582],1.49221e+18,en,Focus 🔴⚫️ 🙏🏽 #mufc https://t.co/XEgTuREPKO,13531,4781,297804,944,0,True,Ronaldo
88,155659213,2022-02-15 22:21:05+00:00,[1493711992510681096],1.49371e+18,en,"Back on track! Nobody gives up and there’s only one way to get back on track: hard work, team work, serious work. Everything else is just noise. Let’s go Devils!🔴⚫️💪🏽 https://t.co/u8sZzzJQn5",34918,8599,361299,3886,0,True,Ronaldo
87,155659213,2022-02-20 18:11:07+00:00,[1495461025570861065],1.49546e+18,en,Very important Premier League win before we change our focus to the Champions League and head to Madrid. Back on track! We stand United!💪🏽 https://t.co/1H6mrVqTt2,15004,3983,236008,689,0,True,Ronaldo
86,155659213,2022-02-22 19:14:19+00:00,[1496201706434088961],1.4962e+18,en,Getting ready for the return of the biggest club competition in the world. Let’s go! 🙏🏽💪🏽 https://t.co/Z31aUAio40,15377,5963,268321,1255,0,True,Ronaldo
85,155659213,2022-03-01 16:56:17+00:00,[1498703685991514113],1.4987e+18,en,Keep working 💪🏽 https://t.co/a9juDBFehE,14099,6515,318828,1046,0,True,Ronaldo
84,155659213,2022-03-13 09:58:16+00:00,[1502947140808716289],1.50295e+18,en,Always a pleasure and a privilege to share some thoughts and ideas with another GOAT… 👏🏽👊🏽 https://t.co/HsFe7UxjQ6,42297,8130,585049,6043,0,True,Ronaldo
83,155659213,2022-03-14 17:41:21+00:00,[1503426067494846468],1.50343e+18,en,"We are Man. United! Let’s do this together! Let’s go, Devils! 🙏🏽💪🏽 https://t.co/tyVGsnCyHh",20302,6165,326894,1800,0,True,Ronaldo
82,155659213,2022-03-19 16:15:54+00:00,[1505216503507034112],1.50522e+18,en,Happy father’s day to all👏🏽❤️🙏🏽 #prouddad #blessed #love https://t.co/4vWvMA3Nnl,17591,5070,397667,1153,0,True,Ronaldo
81,155659213,2022-03-24 22:59:10+00:00,[1507129927598067714],1.50713e+18,pt,"Está dado o primeiro passo rumo ao nosso grande objectivo, rumo ao Mundial 2022. Nada está ganho, nada está alcançado. Temos de continuar a trabalhar de forma séria e focada, respeitando o adversário mas acreditando sempre nas nossas capacidades. Força Portugal! Rumo ao Catar! 💪🏽 https://t.co/TO8IFKcC9v",13277,3571,187576,925,0,True,Ronaldo
80,155659213,2022-03-26 09:00:02+00:00,[1507643527760527360],1.50764e+18,en,"Had a fun day with @LiveScore.

Download the LiveScore app to see what we filmed  

https://t.co/IWWuMJJ0J5 https://t.co/s6na0hFqQ1",4500,2119,75623,306,0,True,Ronaldo
79,155659213,2022-03-26 16:36:06+00:00,[1507758300716277762],1.50776e+18,und,🇵🇹❤️ https://t.co/uftmiwG7oj,17403,5214,379703,784,0,True,Ronaldo
78,155659213,2022-03-30 09:51:53+00:00,[1509106128340373510],1.50911e+18,pt,"Os anos passam, mas os objetivos continuam sempre os mesmo…🇵🇹💪🏽 https://t.co/PBn6m0546M",17571,5114,317701,995,0,True,Ronaldo
77,155659213,2022-04-03 13:17:37+00:00,[1510607454505209861],1.51061e+18,en,Family is everything ❤️🙏🏽 #proud https://t.co/NvmhtMdnpx,19535,6558,416661,1620,0,True,Ronaldo
76,155659213,2022-04-07 20:10:05+00:00,[1512160805634166784],1.51216e+18,en,"Work hard, focus on the everyday goals, enjoy the moments with your friends. Great training session with my boy Dalot! Keep fighting!💪🏽 https://t.co/EQiibUQPA9",12610,4969,251910,660,0,True,Ronaldo
75,155659213,2022-04-17 14:26:05+00:00,[1515698113582927874],1.5157e+18,en,30 hat-tricks before 30 and 30 hat-tricks after 30. It’s time to unbalance the scale! 💪🏽 https://t.co/McgGZBmzyh,67885,12556,753289,7757,0,True,Ronaldo
74,155659213,2022-04-18 18:23:06+00:00,[1516120150533095432],1.51612e+18,zxx,https://t.co/vRNVCoegOW,170592,89326,1894597,51186,0,True,Ronaldo
73,155659213,2022-04-23 16:19:07+00:00,[1517900888312061952],1.5179e+18,und,❤️ https://t.co/HLg0RbI8SM,105331,16690,1651756,6326,0,True,Ronaldo
72,155659213,2022-04-28 20:56:55+00:00,[1519782738076831744],1.51978e+18,en,"Thanks for the support in Old Trafford tonight. As always, our fans were amazing in their effort to help the team.🙏🏽 https://t.co/Xc9pJBIJUI",22234,6599,341316,1398,0,True,Ronaldo
71,155659213,2022-04-30 09:51:13+00:00,[1520339985559347202],1.52034e+18,en,Forever Love…❤️🙏🏽 https://t.co/x18W34rYRM,85095,18558,2002143,5693,0,True,Ronaldo
70,155659213,2022-05-03 17:00:01+00:00,[1521535057348997121],1.52154e+18,en,"Download the @LiveScore app and never miss any of my goals

https://t.co/4lzGWzFyYH https://t.co/yO0aCNWrsp",4238,2498,73409,240,0,True,Ronaldo
69,155659213,2022-05-09 10:32:07+00:00,[1523611770044051456],1.52361e+18,en,Always good to be with my Bro’s 🙏🏽 https://t.co/dJzhCPe1ZD,13152,5267,423536,685,0,True,Ronaldo
68,155659213,2022-05-12 17:54:32+00:00,[1524810270643736578],1.52481e+18,en,"My 2nd Premier League Player Of The Month Award, the 6th in my career. I’m as happy to win today as I was in my early days, the hunger for victory and achievements never fades away. Thanks to everyone that made this possible. 🙏🏽💪🏽 https://t.co/euYaSsHlBG",22245,6491,333178,1708,0,True,Ronaldo
67,155659213,2022-05-16 19:27:16+00:00,[1526283157447880705],1.52628e+18,en,Recovery time with my boy 🧊🥶💪🏽 https://t.co/gHDbT8gEWY,24950,9346,628704,3579,0,True,Ronaldo
66,155659213,2022-05-28 18:00:00+00:00,[1530609852535476227],1.53061e+18,en,"Surprise…! Follow all your team updates with @LiveScore, download the app and don’t miss any action!

https://t.co/4lzGWzFyYH https://t.co/gI9NXGH9je",2734,2351,43018,283,0,True,Ronaldo
65,155659213,2022-05-31 18:17:23+00:00,[1531701387461115905],1.5317e+18,und,🇵🇹💪🏽 https://t.co/xhLBavXwWW,12784,4649,349530,507,0,True,Ronaldo
64,155659213,2022-06-05 09:43:28+00:00,[1533383999162310657],1.53338e+18,pt,"Muitos parabéns meus amores 🎂🎉🙏🏽
O papá não podia estar mais orgulhoso de vocês, continuem a ser felizes e com esses sorrisos lindos 😀😘
Amo-vos muito ❤️❤️ https://t.co/yqEmvL3S4l",8482,2713,242929,625,0,True,Ronaldo
63,155659213,2022-06-05 22:37:23+00:00,[1533578760687079425],1.53358e+18,pt,"Vitória importantíssima na nossa caminhada, muito orgulho e confiança neste grupo, muita força para darmos aos portugueses aquilo que tanto desejamos: vitórias e exibições convincentes. Parece que a época está a acabar, mas na verdade… isto ainda está só a começar! 💪🏻 https://t.co/6NckZC9Eqn",11223,2836,165637,512,0,True,Ronaldo
62,155659213,2022-06-06 12:24:29+00:00,[1533786907066384384],1.53379e+18,und,🙏🏽👏🏽 https://t.co/eNg4TPW7GJ,22611,5594,389733,954,0,True,Ronaldo
61,155659213,2022-06-06 17:00:00+00:00,[1533856241197490177],1.53386e+18,en,"Download the @livescore app and get all your football updates wherever you are!

https://t.co/4lzGWzFyYH https://t.co/oqSf2E3Rfl",3373,1953,53967,239,0,True,Ronaldo
60,155659213,2022-06-09 14:45:04+00:00,[1534909447130210305],1.53491e+18,pt,"Está na hora de reforçar a liderança no grupo, manter o bom momento exibicional e brindar os nossos adeptos com mais uma vitória. Como sempre, contamos com o vosso incansável apoio! Vamos Portugal!🇵🇹🙏🏽💪🏽 https://t.co/yFW9H2K1qr",8285,6063,184721,571,0,True,Ronaldo
59,155659213,2022-06-13 19:14:45+00:00,[1536426867854610433],1.53643e+18,pt,"Mais do que um companheiro de equipa, um irmão que o futebol me deu. Dentro e fora dos campos, um dos maiores craques com quem tive o prazer de partilhar um balneário. Vai com tudo nessa nova aventura, Marcelo! 🙌🏽🙏🏽👊🏽 https://t.co/Rjgb5R3DAd",65390,7999,741449,8082,0,True,Ronaldo
58,155659213,2022-06-16 14:32:47+00:00,[1537443071159173122],1.53744e+18,und,🌊 ☀️ #vacationmode https://t.co/abyyKeDAuQ,16344,6927,452544,2588,0,True,Ronaldo
57,155659213,2022-06-17 10:01:47+00:00,[1537737259302232064],1.53774e+18,pt,"Feliz aniversário meu filho! 🎂🎉😘
Como o tempo passa a correr… ?! Será que ainda vamos jogar juntos?! 🤔😅
O mais importante é continuares a ser o menino que és com um coração enorme! Muitas Felicidades, filhote! O papá ama-te muito ❤️🙏🏽 https://t.co/IkxhPi0ulI",15586,7614,385004,1581,0,True,Ronaldo
56,155659213,2022-06-19 10:58:43+00:00,[1538476363383988225],1.53848e+18,en,Feeling Good 😉 https://t.co/ywEIsMh1Ij,20704,9545,555699,3039,0,True,Ronaldo
55,155659213,2022-06-21 17:27:53+00:00,[1539299079095713792],1.5393e+18,pt,"Gastamos muito tempo em tarefas urgentes, quando deveríamos nos concentrar em tarefas importantes! 😉

MLR https://t.co/89Znuo8lUg",5735,2926,141594,371,0,True,Ronaldo
54,155659213,2022-06-23 14:02:00+00:00,[1539972040291061765],1.53997e+18,en,"Proud to be partnering with @binance 

Together we’ll give you the opportunity to own an iconic piece of sports history.

I’m excited to take this journey with all of you. Let’s change the NFT game with #Binance. https://t.co/SNSCMHggct",18573,8005,135305,3751,0,True,Ronaldo
53,155659213,2022-06-24 12:26:44+00:00,[1540310454043566084],1.54031e+18,und,⚽️🏃🏻‍♂️ https://t.co/MUY0MpqUcF,19030,14354,454734,1232,0,True,Ronaldo
52,155659213,2022-07-14 15:47:41+00:00,[1547608781323771904],1.54761e+18,en,HARD WORK 💪🏽 https://t.co/NBxQI0TuL6,29187,15559,567619,7035,0,True,Ronaldo
51,155659213,2022-07-18 16:28:50+00:00,[1549068687897927684],1.54907e+18,en,Work done 💪🏽 https://t.co/NMjIoVUWwz,12175,7741,340289,1047,0,True,Ronaldo
50,155659213,2022-07-23 10:42:37+00:00,[1550793501566189569],1.55079e+18,und,💪🏽 https://t.co/qMjVO2nTTV,30022,17081,716912,6590,0,True,Ronaldo
49,155659213,2022-07-26 20:18:34+00:00,[1552025605406851072],1.55203e+18,pt,"“A genética carrega o revólver, o estilo de vida puxa o gatilho”

MLR https://t.co/XWl6UOrEjC",13307,13389,301394,2443,0,True,Ronaldo
48,155659213,2022-07-30 14:42:49+00:00,[1553390665643573251],1.55339e+18,en,Working in progress…💪🏽 https://t.co/E2G5ZEayeG,28015,10705,538819,5370,0,True,Ronaldo
47,155659213,2022-07-31 18:21:53+00:00,[1553808180332969985],1.55381e+18,en,Happy to be back 💪🏽🙏🏽 https://t.co/Fp6dpBTXcb,36712,24106,781828,5583,0,True,Ronaldo
46,155659213,2022-08-10 18:38:04+00:00,[1557436132945707008],1.55744e+18,en,Hard work always pays off 🙏🏽💪🏽 https://t.co/kMqIpB2nfV,25682,17430,532936,1878,0,True,Ronaldo
45,155659213,2022-08-25 17:16:50+00:00,[1562851509850632192],1.56285e+18,en,Keep working and focused 🙏🏽💪🏽 https://t.co/W03sh6ggYE,28757,12716,615500,3338,0,True,Ronaldo
44,155659213,2022-08-27 16:50:15+00:00,[1563569592844181508],1.56357e+18,en,3 important points! 💪🏽  #mufc https://t.co/ArVuHXDCF1,23421,9155,547441,1739,0,True,Ronaldo
43,155659213,2022-08-31 08:12:57+00:00,[1564888962069676033],1.56489e+18,en,"Get goal notifications before I even finish my Siiimmm! Download the @livescore app to see what you’re missing

https://t.co/4lzGWzFyYH https://t.co/Jr0Zfd2Gwo",4202,3707,68201,359,0,True,Ronaldo
42,155659213,2022-09-02 14:28:28+00:00,[1565708238875656193],1.56571e+18,en,Great victory! 💪🏽 #mufc https://t.co/AIHhzaBEqf,22925,6300,506537,1123,0,True,Ronaldo
41,155659213,2022-09-04 18:57:30+00:00,[1566500720370647042],1.5665e+18,en,"Well done, lads! And a very special thank you to our supporters! 👏🏽
Let’s go, Devils! 💪🏽 https://t.co/TB2WJRnrQO",28859,7307,466592,1239,0,True,Ronaldo
40,155659213,2022-09-05 15:20:51+00:00,[1566808585920778248],1.56681e+18,en,It's always good to be with you! 👏🏽 #alwaystogether https://t.co/QdpkKcuS0F,17743,6882,365049,684,0,True,Ronaldo
39,155659213,2022-09-15 19:43:39+00:00,[1570498600828039169],1.5705e+18,en,"Happy to score and help the team win! 3 important points! 
Well done lads 👏🏽💪🏽 https://t.co/Gb7mTJcqqd",18474,8442,324886,1014,0,True,Ronaldo
38,155659213,2022-09-21 16:09:20+00:00,[1572618993495838721],1.57262e+18,pt,Feliz por estar de volta a casa! 😀🇵🇹🙏🏽 https://t.co/nh5FlzjORG,13729,7261,291190,643,0,True,Ronaldo
37,155659213,2022-09-23 08:01:00+00:00,[1573220875222097923],1.57322e+18,en,"From my first match to now, there’s no feeling like it. @livescore It’s more than a score

https://t.co/4lzGWzFyYH https://t.co/Di5vTbyK3d",4611,7147,75035,276,0,True,Ronaldo
36,155659213,2022-09-24 21:38:35+00:00,[1573789016247468034],1.57379e+18,pt,"Grande jogo, importante vitória equipa!Continuamos focados no nosso objetivo 🙏🏽💪🏽
Obrigado ao público português pelo apoio fantástico.👏🏽🇵🇹❤️ https://t.co/JRuyUTxOee",10868,13878,192310,543,0,True,Ronaldo
35,155659213,2022-10-09 22:03:22+00:00,[1579231072302166017],1.57923e+18,en,"Great win guys! 
Another step in the right direction! 🙏🏽
#WeStandUnited https://t.co/drEC94rEzc",24696,6547,363127,1170,0,True,Ronaldo
34,155659213,2022-10-10 11:05:06+00:00,[1579427798250573825],1.57943e+18,en,"𝟕𝟎𝟎 𝐜𝐥𝐮𝐛 𝐠𝐨𝐚𝐥𝐬. 
What a beautiful number we’ve achieved together!
Thank you to all my teammates, coaches, clubs, family &amp; friends and of course my fans.
United we continue! 🙏🏽 https://t.co/oYWo766Xcl",82027,15324,790743,5692,0,True,Ronaldo
33,155659213,2022-10-11 08:02:00+00:00,[1579744108184309762],1.57974e+18,en,"For every moment you see on the field, there are countless moments you don’t see off it. From working out, to nutrition, to the community that makes me stronger, it’s important to nourish every part of life. #lifewellnourished #herbalife https://t.co/vZvIsiJ9yR",9454,3392,132122,351,0,True,Ronaldo
32,155659213,2022-10-12 16:43:50+00:00,[1580237819838332929],1.58024e+18,en,"When it’s time for you to take the stage, drown out the noise, find your voice, and make it heard. 
#ClearxCR7 #ClearMen #BeClearBeFearless #BeTheFirstYou https://t.co/r3DDk3Z1ji",3318,1644,46884,79,0,True,Ronaldo
31,155659213,2022-10-14 08:04:18+00:00,[1580831849521115136],1.58083e+18,en,𝐖𝐞 𝐛𝐞𝐥𝐢𝐞𝐯𝐞 𝐮𝐧𝐭𝐢𝐥 𝐭𝐡𝐞 𝐞𝐧𝐝… 🔴⚪️⚫️ #mufc https://t.co/gwMxnyRfxt,12723,3762,250715,632,0,True,Ronaldo
30,155659213,2022-10-17 09:46:33+00:00,[1581944746326765568],1.58194e+18,en,Always good to be with you boss! 🙏🏽 https://t.co/TP4bzkgDCz,36125,5840,567635,1465,0,True,Ronaldo
29,155659213,2022-10-18 18:38:35+00:00,[1582441027092197377],1.58244e+18,en,"How have I been spending my recovery sessions lately? With the new #Theragun PRO from @therabody . With visually-guided, built-in routines and a redesigned motor that is 20% quieter, the Theragun helps me #KeepMoving at peak performance on and off the field. https://t.co/GbuqDMoicg",5417,4508,86546,929,0,True,Ronaldo
28,155659213,2022-10-26 16:19:06+00:00,[1585305026834345985],1.58531e+18,en,"Back on track, with the same commitment and dedication as always! 💪🏽 https://t.co/fB6HMHEmX9",26386,10594,428797,2388,0,True,Ronaldo
27,155659213,2022-10-27 21:43:14+00:00,[1585748985020456960],1.58575e+18,en,"Great team effort and a good victory. We stand together. Let’s go, United! 💪🏽 https://t.co/GnjAR3oM3s",41714,9189,500500,2601,0,True,Ronaldo
26,155659213,2022-10-29 13:00:03+00:00,[1586342096302006272],1.58634e+18,en,"LiveScore, it’s More Than A Score. Download the free @livescore app for all the latest football action, stats and analysis. https://t.co/4lzGWzX9Qf https://t.co/N8QC9FoBLn",3153,1468,54669,100,0,True,Ronaldo
25,155659213,2022-10-30 19:01:39+00:00,[1586795486907961345],1.5868e+18,en,3 important points 💪🏽 #WellDoneLads https://t.co/N5ZvL8cUqb,15836,3469,266620,332,0,True,Ronaldo
24,155659213,2022-11-03 20:31:50+00:00,[1588267732298043392],1.58827e+18,en,We move on and we keep going after our goals this season! Thanks to our supporters that never give up on us!👏🏽 https://t.co/KPXpPz2Jng,23954,5015,373502,904,0,True,Ronaldo
23,155659213,2022-11-10 17:46:14+00:00,[1590762773310427136],1.59076e+18,pt,"Uma vez mais, prontos para elevar bem alto o nome de Portugal! São 26 os nomes na lista do Mister Fernando Santos, mas estamos todos convocados! Força Portugal!💪🏽🙏🏽 https://t.co/ZYrmIs4deq",22288,6411,270405,2898,0,True,Ronaldo
22,155659213,2022-11-12 15:50:20+00:00,[1591458382644486146],1.59146e+18,en,"Very happy @zujugp is giving the next generation of football stars in Asia the chance to shine. The YoungWarrior Scholarship 2022 starts in Singapore, and will be in other parts of Asia next year. Let’s do this!

All info on @zujugp https://t.co/n9BWus1Y7H",2518,923,35857,43,0,True,Ronaldo
21,155659213,2022-11-12 18:23:51+00:00,[1591497013442801667],1.5915e+18,pt,Muitos parabéns meu amor! 🎂❤️😘 https://t.co/mwer7HpRzW,21253,7768,509432,1692,0,True,Ronaldo
20,155659213,2022-11-14 20:07:31+00:00,[1592247879300747264],1.59225e+18,pt,"Foco total e absoluto nos trabalhos da Selecção Nacional. Grupo unido, rumo a um só objectivo: realizar o sonho de todos os portugueses! https://t.co/iu2qlJvb62",19236,8430,268987,2059,0,True,Ronaldo
19,155659213,2022-11-15 14:10:01+00:00,[1592520297290551308],1.59252e+18,en,"My NFT collection is coming on November 18, exclusively on @Binance. 

This is your chance to join my Web3 community and own iconic moments from my career.

Sign up now with code RONALDO to prepare, and receive a surprise when the collection drops. https://t.co/5lXNzxs2lC",13830,8659,128668,2985,0,True,Ronaldo
18,155659213,2022-11-16 18:00:02+00:00,[1592940572129517573],1.59294e+18,en,"Looking forward to competing against the world’s best. Make sure you have the free @livescore app so that you can follow all the action, stats and news!

https://t.co/4lzGWzFyYH https://t.co/zSFwjhxHYK",8368,4071,110553,481,0,True,Ronaldo
17,155659213,2022-11-18 09:00:04+00:00,[1593529459306598401],1.59353e+18,en,"A new journey together begins today.
Join me on @Binance, the home of my exclusive NFT collection.
Sign up now with code RONALDO to get a free mystery box: 
https://t.co/JNvl8pAt8L https://t.co/UyDinTIVN2",6179,2480,67349,384,0,True,Ronaldo
16,155659213,2022-11-18 13:02:37+00:00,[1593590502745595907],1.59359e+18,pt,"Grande prova de força ontem em Alvalade, com os nossos rapazes a mostrarem toda a sua personalidade. Clara demonstração de talento e capacidade, mais uma razão para levarmos connosco na bagagem todos os sonhos do Mundo! Seja onde for, Portugal, sempre!🇵🇹❤️ https://t.co/fqm17zcYss",14675,4163,205175,820,0,True,Ronaldo
15,155659213,2022-11-18 18:00:02+00:00,[1593665349106311168],1.59367e+18,en,"I can’t leave for Qatar without my #Theragun PRO!
It’s important to keep my routine consistent and I know I can always turn to @therabody to keep me feeling my best. https://t.co/Oaj7bTqT2q",4786,2095,66210,228,0,True,Ronaldo
14,155659213,2022-11-19 11:19:56+00:00,[1593927048539643905],1.59393e+18,en,"Taking over Times Square with my new wax figure and showing Portugal to the world! 

#madametussaudsusa
#visitportugal https://t.co/Ud1gKxyLdU",16597,3140,144970,1646,0,True,Ronaldo
13,155659213,2022-11-19 17:55:15+00:00,[1594026532934414336],1.59403e+18,en,Victory is a State of Mind. A long tradition of crafting trunks photographed by @annieleibovitz for @LouisVuitton https://t.co/0TsieZP40P,215658,20766,1753643,28672,0,True,Ronaldo
12,155659213,2022-11-20 15:43:28+00:00,[1594355756559728642],1.59436e+18,pt,"Boas energias, boas sensações, o mesmo empenho e a mesma concentração de que colocamos em cada desafio. Foco! Vontade! Crença! Seja onde for, Portugal, sempre!🇵🇹🙏🏽 https://t.co/tWgeKBRG3J",14912,3825,263405,735,0,True,Ronaldo
11,155659213,2022-11-20 16:00:02+00:00,[1594359923537846273],1.59436e+18,en,"My first ever NFT collection is live now on @Binance. Don’t miss out! 
Sign up now with code RONALDO to explore the collection and get a free mystery box too.

Join me: 
https://t.co/CTz5dyJbTO https://t.co/e1pEmswVkS",4482,2137,66462,199,0,True,Ronaldo
10,155659213,2022-11-22 09:00:01+00:00,[1594979000337563649],1.59498e+18,en,"How many did you get right? Make sure you have the free @livescore app so you can follow all the action, stats and news!

https://t.co/4lzGWzX9Qf https://t.co/TPTh1CCbBT",5662,2663,90208,195,0,True,Ronaldo
9,155659213,2022-11-22 20:18:13+00:00,[1595149673777725440],1.59515e+18,zxx,https://t.co/OZJAW7HSJM,78386,25545,915036,10217,0,True,Ronaldo
8,155659213,2022-11-23 19:37:02+00:00,[1595501696184160259],1.5955e+18,pt,"Prestes a iniciarmos a nossa campanha na maior competição do Mundo. Uma aventura que desejamos longa e repleta de sucessos, de forma a elevarmos bem alto o nome e a bandeira do nosso país. Queremos encher todos os portugueses de orgulho e alegria. Não há impossíveis! Força 🇵🇹🙏🏽💪🏽 https://t.co/GhfbIM5UDo",30974,11312,439014,4078,0,True,Ronaldo
7,155659213,2022-11-25 15:13:35+00:00,[1596160176394014724],1.59616e+18,pt,"Vitória muito importante na nossa estreia neste Mundial, mas nada está ganho! Foi apenas o primeiro passo! Seguimos focados na busca dos nossos objectivos. Força Portugal!🇵🇹🙏🏽💪🏽 https://t.co/SmaEEGwYsK",17333,4836,276482,646,0,True,Ronaldo
6,155659213,2022-11-27 18:29:26+00:00,[1596934238628347905],1.59693e+18,pt,Unidos e focados. Rumo ao nosso objectivo.🇵🇹🙏🏽 https://t.co/MYEaxlener,20609,5213,395049,1156,0,True,Ronaldo
5,155659213,2022-11-28 21:35:59+00:00,[1597343573233790978],1.59734e+18,pt,"Estamos nos oitavos do Mundial! Grande trabalho, equipa! Frente a um adversário de grande mérito, fizemos valer a nossa força e a nossa qualidade. Vamos em frente! Estamos na luta e o nosso sonho continua bem vivo! Força, Portugal! 💪🏽🇵🇹 https://t.co/VJWLFD1J8z",28257,6808,340300,1655,0,True,Ronaldo
4,155659213,2022-12-01 17:39:01+00:00,[1598371099363971086],1.59837e+18,pt,O apuramento está garantido mas queremos também o 1.º lugar. Não há limites para esta equipa nem para os nossos objectivos. Vamos por mais! Força Portugal!🇵🇹🙏🏽 https://t.co/BeQFNW3GsR,14077,3967,309669,659,0,True,Ronaldo
3,155659213,2022-12-02 17:56:36+00:00,[1598737914883706890],1.59874e+18,pt,Primeiros dois objectivos alcançados: apuramento e liderança no nosso grupo. Mas há ainda muito mais pela frente! Vamos Portugal!🇵🇹❤️ https://t.co/8cUV7ti3x1,12165,3827,222085,551,0,True,Ronaldo
2,155659213,2022-12-04 18:17:56+00:00,[1599468060301148162],1.59947e+18,und,🇵🇹🙏🏽💪🏽 https://t.co/JojzIfF3F4,24274,9099,506086,1731,0,True,Ronaldo
1,155659213,2022-12-08 13:09:12+00:00,[1600839914719178753],1.60084e+18,pt,"Um grupo demasiado unido para ser quebrado por forças externas. Uma nação demasiado corajosa para se deixar atemorizar perante qualquer adversário. Uma equipa no verdadeiro sentido da palavra, que vai lutar pelo sonho até ao fim! Acreditem connosco! Força, Portugal!🇵🇹🙏🏽 https://t.co/gUeENXSB5F",31143,7329,367080,2715,0,True,Ronaldo
0,155659213,2022-12-09 20:33:47+00:00,[1601314186554138624],1.60131e+18,pt,"Há um Mundial que Portugal já ganhou: o dos adeptos! Incrível o apoio e o carinho que temos sentido de tantos portugueses (e não só!) aqui no Catar, tão longe da nossa pátria. Continuem a apoiar nos bons e nos maus momentos, tudo faremos para retribuir com vitórias! Força,🇵🇹🙏🏽 https://t.co/LKSTQ9W3FB",21361,18135,315094,2726,0,True,Ronaldo
54,158487331,2022-01-06 18:16:09+00:00,[1479154838470639620],1.47915e+18,en,Step by Step 🔥 https://t.co/RPB63Eblac,8967,6815,155345,798,0,True,Neymar
53,158487331,2022-01-11 14:29:22+00:00,[1480909706973650947],1.48091e+18,pt,"25/01/2022 - Save the Date
""Neymar: O Caos Perfeito""
#neymarNetflix https://t.co/lDIlh4ebAT",7410,3625,127423,740,0,True,Neymar
52,158487331,2022-01-14 16:19:31+00:00,[1482024587936382980],1.48202e+18,zxx,https://t.co/5Hjoyr63MA https://t.co/nAwSSs5vuO,315,339,7818,5,0,True,Neymar
51,158487331,2022-01-14 18:05:28+00:00,[1482051254662610950],1.48205e+18,pt,"Vem comigo no @FacebookGaming 😉

https://t.co/5Hjoyr63MA !",178,265,5101,5,0,False,Neymar
50,158487331,2022-01-19 12:36:32+00:00,[1483780414732967937],1.48378e+18,pt,"Amargurado? sou feliz demais por tudo que conquistei até aqui e por todos que me apoiam, principalmente os Brasileiros!",5641,2122,97148,575,0,False,Neymar
